Cluster,Label
10,"['Fertilizers', 'Reservoir Characterization', 'Wine', 'Beverages', 'Coal Mining', 'Aluminum', 'Fuel', 'Completion Solutions', 'Leather and Biodiesel', 'Edible Oils', 'Asphalt', 'Coal Gasification', 'Spirits', 'Sports Programming', 'Multi-Tracks', 'Offshore Support Vessels', 'Midstream Operations ', 'Paper', 'Alcoholic Beverages', 'Fragrance Ingredients', 'Active Pharmaceutical Ingredients', 'Dairy', 'Exploration and Production', 'Asphalt and Paving', 'Snacks', 'Chlor-Alkali Chemicals', 'Live Audio', 'Calcium Products', 'Uncoated Fine Paper']"
11,"['Digital Finance', 'Digital Payments', 'Blockchain', 'Digital Enabled Services', 'Digital Farming', 'Digital Transformation', 'Digital Services', 'Digital Fitness', 'Digital Therapeutics', 'Digital Finance Solutions', 'Digital Eye Care Solutions', 'Digital Mobility Solutions', 'Digital Fashion Solutions', 'Digital and Loyalty Programs', 'Digital Experiences', 'Digital Aerospace Solutions', 'Digital Color Solutions', 'Digital Building Solutions', 'Digital Financial Solutions', 'Digital Hospitality Solutions', 'Digital Engagement Solutions', 'Digital Services Solutions', 'Digital Innovation', 'Digital Aviation Solutions', 'Digital HealthTech', 'Digital Factory Automation', 'Digital Hospitality Solutions', 'Digital Engagement Solutions', 'Digital Government', 'Digital Workplace', 'Digital Experience Design', 'Lithium Recycling and Digital Solutions', 'Digital Asset Management ', 'Digital Farming ', 'Digital Transformation ', 'New Digital Realities', 'New Digital Infrastructure', 'Digital Capabilities', 'New Digital Workflows']"
12,"['Healthcare Logistics', 'Blockchain-enabled Supply Chain', 'Supply Chain Management', 'Digital Supply Chain Solutions', 'Supply Chain and Logistics', 'Supply Chain Services', 'Supply and Marketing Services', 'Supply Chain', 'Supply Chain Solutions', 'Supply and Marketing Services', 'Supply Chain', 'Digital Supply Chain', 'Supply Chain Services ', 'Supply Chain Consulting', 'New Supply Solutions', 'New Logistics Services']"
13,"['Data Analytics', 'Data and Technology Solutions', 'Data Solutions', 'Edge Computing', 'Data & Analytics Solutions', 'Edge Computing Solutions', 'Data and Technology Services', 'AI & Data Analytics', 'Software and Analytics Solutions', 'Data Center Solutions', 'AI-Driven Insights ', 'Measurement and Analytical Solutions', 'Data Analytics ', 'Data and Insights', 'New Data and Analytics Offerings', 'New Data and Technology Products', 'Population and Data Solutions', 'New Data Solutions']"
14,"['Institutional Securities', 'Private Equity', 'Commodities and Global Markets', 'Green Investment', 'Trading', 'Cannabis Investments', 'Securities Trading', 'Trading Services', 'Venture Capital', 'Capital Markets', 'Investment', 'Capital Markets', 'Investment Solutions', 'Mineral Trading', 'Equity Investment', 'Pension Funds', 'Investments', 'New Venture Capital', 'Treasury and Capital Markets', 'New Investment Solutions', 'Investment Trust', 'Investment Products', 'Securities', 'Trading and Brokerage']"
15,"['Metaverse', 'Robotics', 'Chemicals', 'Software', 'Production Management', 'Rare Earth Magnets', 'Heavy Machinery Manufacturing', 'Analog ICs', 'Accessories', 'Analog ICs', 'Cellulose Fibers', 'Chemical Products', 'Biotech Solutions ', 'Services and Software ', 'Module Manufacturing', 'Nickel', 'Computational Software', 'Modular Solutions', 'New Chemical Products', 'New Fintech Solutions', 'Convergence Software', 'New Cable Solutions', 'New Software Solutions']"
16,"['Digital Health', 'Digital Health Services', 'Digital Healthcare Solutions', 'Digital Health Solutions', 'Digital Health ', 'Digital Health Solutions ', 'Digital Health Services ', 'New Digital Health Offerings']"
17,"['Infrastructure', 'Hydrogen Infrastructure', 'Power and Infrastructure', 'Grid Modernization', 'Urban Infrastructure', 'Utility & Telecom Investments', 'Service and Modernization', 'Maintenance and Overhaul', 'Maintenance Services', 'New Infrastructure Solutions', 'Modernization', 'Infrastructure Development', 'Private Infrastructure', 'Supporting Infrastructure']"
18,"['Sustainable Ag Solutions', 'Digital Solutions for Sustainable Products', 'Sustainable Habitat Solutions', 'Sustainable Materials and Solutions', 'Sustainable Products and Solutions', 'Sustainable Solutions', 'Sustainable City Development', 'Sustainable City Development', 'Green Shipping Solutions ', 'Sustainable Solutions ', 'New Sustainable Materials', 'New Sustainable Solutions']"
19,"['Healthcare Services', 'Pharmaceutical Distribution', 'Outpatient Clinics', 'Healthcare Solutions', 'Hospital Management', 'Healthcare Facilities', 'New Healthcare Solutions', 'New Healthcare Technologies', 'New Medical Solutions', 'Out-of-Hospital Software', 'United Surgical Partners International', 'New Healthcare Services']"
20,"['Sustainable Building', 'Sustainable Aviation', 'Sustainable Investing', 'Sustainable Mobility', 'Sustainable Agriculture', 'Sustainable Business Solutions', 'Environmental Technologies', 'Circular and Low-Carbon Solutions', 'Circular Economy Solutions', 'ESG Solutions', 'Sustainability Consulting', 'Sustainable Operations', 'Sustainable Finance Products', 'Smart Environmental Solutions', 'Sustainability Solutions', 'Sustainability Initiatives', 'Green Technologies', 'Renewable Aviation', 'Environmental Systems', 'Sustainability Initiatives', 'Sustainable Technologies', 'Sustainability Services ', 'Sustainability Initiatives ', 'Environmental Protection ', 'Sustainable Products ', 'Sustainability Solutions ', 'Circular Economy Solutions ', 'Impact Investing', 'Environmental Protection Equipment']"
21,"['Automotive Systems', 'Automotive Solutions', 'Automotive Chips', 'Automotive OEM', 'Automotive Parts', 'Vehicle Components', 'Automotive Components', 'New Automotive Solutions', 'Automotive Logistics']"
22,"['Digital Insurance', 'Insurance', 'Reinsurance', 'Commercial Insurance', 'Digital Insurance Solutions', 'Health Insurance', 'Bancassurance', 'Life Insurance', 'Digital Insurance ', 'Digital Insurance Solutions ', 'InsurTech Solutions', 'New Insurance Products', 'Medicare Supplements', 'Individual Life', 'Insurance Services', 'New Insurance Solutions']"
23,"['Hydrogen Production', 'Biofuels', 'Green Hydrogen', 'Biopharmaceuticals', 'Hydrogen Solutions', 'Green Buildings', 'Renewable Hydrogen', 'Hydrogen', 'Biotechnology', 'Bioenergy and Green Fuels', 'Biologicals', 'Renewable Polymers and Chemicals', 'Biochemicals', 'Bioproducts', 'Bioengineering Products']"
24,"['5G Networks', 'Wireless Telecommunications', 'Digital Solutions', '5G Solutions', 'Blockchain Solutions', 'Digital Agriculture Solutions', 'Precision Agriculture', 'High-Performance Solutions', 'Solid State Drives', 'Telematics', 'Corporate Hardware Solutions', 'Technology Solutions', 'Modern Services', 'IPTV', 'IT Services', 'Cruise Technology Solutions', 'Market Technology Solutions', 'New Technology Solutions']"
25,"['Ride-sharing', 'Mobility', 'Mobility Services', 'Urban Air Mobility', 'Rail Transit', 'Mobility Solutions', 'eMobility Solutions', 'Ground Transportation', 'Smart Mobility and Energy Solutions', 'Sustainable Mobility and Resources', 'Mobility Services ', 'Mobility Solutions ', 'New Mobility Solutions', 'Dry Bulk Shipping', 'Sustainable Mobility Solutions', 'New Mobility Offerings', 'New Urban Mobility Solutions', 'New Rail Solutions', 'New Rail Technologies', 'New Transportation Solutions']"
26,"['Renewable Energy', 'Renewable Energy Solutions', 'New Energy Solutions', 'New Energy', 'Environmental Energy', 'Renewable Energy Investment', 'Renewables', 'Renewable Energy ', 'New Energy Solutions ', 'New Energy Ventures', 'New Energy Businesses', 'Diversification into New Energy', 'New Clean Energy Ventures', 'Energy Transition', 'Renewable Integration', 'New Renewable Solutions', 'New Energy Initiatives']"
27,"['Home Care Products', 'Nutrition and Care Solutions', 'Personal & Home Services', 'Healthcare ', 'Health Care', 'Cosmetics Manufacturing', 'Renal Care', 'New Personal Care Products']"
28,"['Quantum Computing', 'Cloud Computing', 'Cloud Computing Solutions', 'Cloud and Security Solutions', 'High-Performance Computing', 'Cloud Solutions', 'Cloud Services', 'High Performance Computing', 'Digital Edge Services', 'Cloud']"
29,"['Hospitality', 'Corporate Travel', 'Wine Tourism', 'Travel', 'Vacation Travel', 'Travel Services', 'Digital Travel Platforms', 'Digital Travel Services ', 'Destination Services', 'New Travel Experiences', 'Tourism and Hospitality', 'Travel and Hospitality', 'New Travel Tech Offerings', 'New Travel Platforms']"
30,"['E-commerce Ventures', 'FinTech Ventures', 'New Technology Ventures', 'PropTech Ventures', 'Health Care Ventures', 'Emerging Technology Ventures', 'InsurTech Ventures', 'New Maritime Ventures', 'New Protein Ventures', 'New Business Ventures', 'Adjacent Ventures']"
31,"['Digital Media', 'Streaming Services', 'Media and Digital Business', 'Media Services', 'Digital Entertainment', 'Visual Content', 'Data & Media Solutions', 'News and Media', 'Media and Streaming', 'Advertising and Media', 'Media and Entertainment Solutions']"
32,"['Intelligent Manufacturing', 'Digital Manufacturing Solutions', 'Smart Manufacturing', 'Digital Manufacturing Solutions ', 'New Factory Automation Solutions', 'Manufacturing Operations', 'Manufacturing Intelligence', 'New Automation Solutions']"
33,"['Smart Grids', 'Smart Grid Solutions', 'Smart Home Solutions', 'Smart Cities', 'Connected Car Solutions', 'Integrated Smart City Solutions', 'Smart Home Technologies', 'Connected Vehicle Solutions', 'Smart Solutions', 'Smart Agriculture Solutions', 'Digital Grid Solutions', 'Smart Farming Solutions', 'Smart Home and Security Solutions', 'Connected Home Monitoring', 'Smart Networks', 'At-Home Solutions', 'Smart Grid Solutions ', 'Consumer Electronics']"
34,"['Natural Gas Infrastructure', 'Petrochemicals', 'Renewable Natural Gas', 'LNG Export', 'Gas', 'LNG', 'LNG Terminals ']"
35,"['Financing', 'Managed Services', 'Solutions', 'Software Solutions', 'Corporate Experiences', 'Small Business Solutions', 'Digital Transformation Solutions', 'Business Innovation', 'Digital Transformation Solutions', 'B2B Solutions', 'Agri-business', 'Managed Services ', 'Emerging Markets', 'Managed and Support Services', 'International Expansion', 'Subscription Models', 'Merchant Solutions', 'Agri-Business', 'Risk Consulting', 'Centrica Business Solutions', 'Subscription Services', 'New Business Development', 'New Business Incubation']"
36,"['Grocery', 'Prepared Foods', 'Food', 'Sustainable Food Systems', 'Food Processing', 'Food and Agriculture', 'QSR', 'Catering', 'Food and Agriculture', 'Food Delivery ', 'Food Ingredients', 'New Food Ventures', 'Fast Casual Dining', 'New Food and Beverage Offerings', 'Food Retail Solutions', 'Reinhart Foodservice', 'New Food Solutions', 'Processed Foods', 'New Food and Bio Solutions', 'New Agri-Food Solutions']"
37,"['Consumer Banking', 'Digital Banking', 'Investment Banking', 'Commercial Banking', 'Finance', 'Corporate Banking', 'Open Banking Solutions', 'Banking', 'Financial Services', 'Digital Financial Services', 'Digital Banking Solutions', 'International Banking', 'Islamic Banking', 'Digital Banking ', 'Digital Banking Services', 'Merchant Banking', 'Trust Banking']"
38,"['Direct-to-Consumer', 'Digital Direct-to-Consumer', 'Digital Direct-to-Consumer Solutions', 'Retail Brokerage', 'Commercial and Retail Operations', 'Direct-to-Consumer ', 'Marketplace Solutions', 'Merchandising ', 'Retail Refrigeration', 'Consumer Packaged Goods', 'Retail and Consumer Services']"
39,"['Real Estate', 'Mortgage Lending', 'Digital Real Estate Solutions', 'Real-World Solutions', 'Investment Properties', 'Golf Course Properties', 'Gaming Real Estate', 'Commercial Real Estate ', 'Real Estate Services', 'Real Estate Management', 'New Real Estate Ventures', 'New Property Solutions', 'New Real Estate Offerings', 'New Healthcare Real Estate', 'NRI Services', 'CT REIT', 'New Real Estate Solutions']"
40,"['Modern Agriculture ', 'Modern Agriculture', 'New Surgical Platforms', 'New Propulsion Solutions', 'New Cardiovascular Solutions', 'New Ophthalmic Innovations', 'New Networking Solutions', 'New Optical Solutions', 'New Silicon Solutions', 'New Connectivity Solutions', 'New Security Platforms', 'New Grid Solutions', 'New Design Solutions', 'New Crypto Solutions', 'New Biomedical Solutions', 'New Network Solutions', 'New AgTech Solutions', 'New Maritime Solutions', 'New Entertainment Solutions', 'New Packaging Solutions', 'New Marine Solutions', 'New Display Technologies']"
41,"['Forward Solutions', 'New Wood-Based Offerings', 'New Retail Formats', 'New Beverage Categories', 'New Dairy Segments', 'New Restaurant Concepts', 'New Aerospace Solutions', 'New Sports and Wellness Offerings', 'New Lifestyle and Wellness Offerings', 'New Luxury Offerings', 'New Consumer Offerings', 'New Surface Solutions', 'New Consumer Products', 'New Sensory Experiences', 'New Technology Offerings', 'New Aviation Solutions', 'New Wealth Management Solutions', 'New Hospitality Concepts', 'New Retirement Solutions', 'New Risk Management Services', 'New Beverage Offerings', 'New Audio Experiences', 'New Entertainment Offerings', 'New Services and Products', 'New Exchange Offerings', 'New Entertainment Experiences', 'New Bioscience Solutions', 'New Diversified Solutions', 'New Marketing Platforms']"
42,"['Construction Solutions', 'Engineering and Construction', 'Shipbuilding', 'Building Solutions', 'Building Automation', 'Millwork', 'Construction Services', 'Building Analytics', 'New Construction Technologies', 'Smart Building Solutions', 'Construction', 'Building Renovation', 'New Construction Solutions']"
43,"['Sustainable Steel', 'Steel', 'Sustainable Steel Solutions', 'New Steel Ventures', 'New Steel Solutions', 'New Steel and Industrial Solutions', 'Steel Processing', 'New Steel Offerings', 'New Steel Products']"
44,"['Autonomous Vehicles', 'Autonomous Driving', 'Commercial Vehicles', 'Hypersonics', 'Automotive Transport', 'Autonomous Solutions', 'Vehicle', 'Automotive', 'Automotive Finance', 'Vehicle Air-Conditioning', 'Alternative Fuel Vehicles', 'Autonomous Delivery Vehicles', 'Alternative Fuel Vehicles', 'Electric Vehicles', 'Energy-Efficient Vehicles', 'Complete Vehicles', 'New Energy Vehicles', 'Leasing', 'Auto and Lease Financing']"
45,"['Rare Diseases', 'Cardiovascular Disease', 'Respiratory Disease', 'Medical Devices', 'Cell Therapy', 'Gastroenterology', 'Surgical Products', 'Medical Nutrition', 'Ophthalmology', 'Gene and Cell Therapies', 'Diagnostics', 'Clinical Trials', 'Neuromodulation', 'Cell Therapies', 'Diagnostics', 'Precision Medicine ', 'Regenerative Medicine', 'Medical Solutions', 'Medical Imaging Systems', 'Plasters and Wound Care', 'Therapeutic Solutions', 'Craniomaxillofacial and Thoracic', 'Ophthalmic Diagnostics']"
46,"['Carbon Capture and Storage', 'Carbon Capture', 'CO2', 'Carbon Capture and Sequestration', 'Carbon Capture & Storage', 'Emissions Abatement', 'Carbon Capture and Storage ', 'Carbon Fiber']"
47,"['Industrial Robots', 'Industrial Technologies', 'Marine and Industrial Engines', 'Industrial Solutions', 'Industrial Finance', 'Industrial Products', 'Process Solutions', 'Production Solutions', 'Industrials', 'Engines Leasing', 'Digital and Industrial Solutions', 'Industrial Services', 'Industrial Chemicals', 'Potassium ', 'Zinc Mining', 'New Industrial Solutions', 'Iron Ore Mining', 'Automation Systems', 'Industrial Gases', 'New Industrial Ventures', 'Precision Machinery', 'Commercial and Industrial Panels']"
48,"['Semiconductor Equipment', 'Coal Mining Equipment', 'Equipment Manufacturing', 'Bearings', 'Lubricants', 'Used Equipment', 'Communications Equipment', 'Machinery', 'Sports Equipment', 'Packaging Equipment']"
49,"['Logistics Automation', 'Logistics Real Estate', 'Intelligent Logistics Solutions', 'Logistics Facilities', 'Connected Operations', 'Logistics and Retail', 'Logistics Properties']"
50,"['Digital Marketing', 'Energy Marketing', 'Digital Marketing Solutions', 'Energy Marketing Services']"
51,"['Healthcare', 'Population Health Management', 'Animal Health', 'Life Sciences', 'Specialty Health', 'Health and Wellness Products', 'Biomedical Research', 'Health Solutions', 'Health and Well-being', 'Health and Crop Sciences', 'Ocular Health', 'Health and Protection', 'Animal Health Products', 'HSA Bank', 'New Veterinary Solutions']"
52,"['E-commerce', 'E-commerce ', 'Online Retail', 'E-Commerce']"
53,"['Green Building Solutions', 'Green Building Materials', 'Building Materials', 'Building Products', 'Sustainable Construction Materials ', 'New Building Materials', 'New Construction Materials']"
54,"['Nuclear Power', 'Power Generation', 'Power Management', 'Electric Power', 'Power Solutions', 'Nuclear and Thermal Power', 'Electrification Solutions ', 'Electrification', 'Electrical Power Systems', 'New Electrification Solutions', 'Electric Transmission', 'New Power Solutions', 'Power and Gas']"
55,"['Wearables', 'Hydrogen Fuel Cells', 'Mobile Devices', 'Internet of Things', 'Advanced Packaging', 'Electronics', 'Gasoline', 'Communication Products', 'Patient Monitoring', 'Networking', 'NOR Flash', 'Connected Solutions', 'Sensors', 'Internet and Communications Solutions', 'Home Appliances', 'IoT', 'Instrumentation', 'IoT and Enterprise', 'Smart Devices', 'Data and Devices', 'Static Eliminators', 'IoT Solutions', 'Memory Products', 'IoT Solutions ', 'Closures', 'Robomachine']"
56,"['Semiconductors', 'Sustainable Materials', 'Battery Materials', 'Roofing Systems', 'Recycled Building Materials', 'Advanced Materials', 'Materials', 'Recycling and Recovery', 'Electronic Materials', 'Packaging', 'Recycling', 'Textiles', 'Housing Materials', 'Materials Recycling', 'Advanced Materials ', 'Sealants and Adhesives', 'Fasteners', 'Salvage Services', 'Recyclables', 'New Fiber-Based Solutions', 'New Battery Materials']"
57,"['Digital Technology', 'Digital Solutions ', 'Digital Services ', 'New Digital Services', 'New Digital Solutions', 'New Technology Platforms']"
58,"['Rural Development', 'Gaming', 'Affordable Housing', 'United Aviate Career Development', 'Resource Development', 'Research', 'New Housing Solutions', 'New Product Lines', 'New Housing Models', 'Town Development', 'New Drug R&D Services', 'Video Games', 'IP Creation', 'Mineral Resources Development']"
59,"['Augmented Reality', 'Telecommunications', 'Wireless Communications', 'Information and Communication Systems', 'Information Systems', 'Market Data', 'Digital Information Solutions', 'Digitalization', 'Information and Communications ', 'Informatics', 'Security Operations', 'New Digital Information Products', 'Information Services', 'Geographic Information Services']"
60,"['Artificial Intelligence', 'Vaccines', 'Gene Therapy', 'Lending', 'Hard Seltzer', 'Cannabis-infused Beverages', 'Oncology', 'Neuroscience', 'Immunology', 'Functional Beverages', 'Metaverse Experiences', 'Nicotine Delivery Systems', 'Biosciences', 'Savings Accounts', 'Safety and Productivity Solutions', 'HIV/AIDS Therapies', 'Customer Experience', 'Fraud Prevention', 'Hemophilia', 'Coatings', 'Sunglasses', 'Premium Non-Alcoholic', 'Artificial Intelligence Chips', 'Apparel', 'Wildfire Prevention', 'Dredging', 'Loyalty Programs', 'Reduced Risk Products', 'Aftermarket Parts', 'Cyber and Intelligence', 'Filtration', 'Robotic Solutions', 'IP Solutions', 'AI Chips', 'Nucleic Acid Medicines', 'Online Education', 'Surface Technologies', 'Nicotine Delivery', 'AI and Security Services', 'Recording Media', 'AIoT Platforms', 'Gaming Solutions', 'Intelligence and Cyber Solutions', 'Sports and Entertainment', 'Gene Editing', 'Digital Climate Solutions', 'Premium Connections', 'PR and Public Affairs', 'Voluntary Benefits', 'Music Streaming', 'Artificial Intelligence ', 'Residential Security ', 'Waterproofing Solutions ', 'Additive Manufacturing ', 'Special Alloys', 'Rubber and Tires', 'Lighting Solutions', 'Lifestyle Brand', 'Intellectual Property', 'Group Benefits', 'Cell Analysis', 'Gem-Set Jewelry', 'Surgical Monitoring', 'Bell Helicopters', 'Network Security', 'Clothing', 'Senior Housing', 'Sports Timing', 'Voice and Collaboration', 'Global Payments', 'Publishing and Live Entertainment', 'Employee Experience']"
61,"['Coal Chemical Products', 'Plant-based Foods', 'Crop Nutrients', 'Alternative Proteins', 'Plant-based Offerings', 'Pet Foods', 'Cannabinoid Products', 'Specialty Products', 'Plant-based Alternatives', 'Pet Nutrition', 'Value-Added Products', 'Cannabinoid Products', 'Plant-Based Foods', 'Plant-Based Protein', 'Nutrition Products', 'Decorative Paints', 'Defense Products', 'DesignWare']"
62,"['Smart City Solutions', 'Smart City Infrastructure', 'Urban Development Solutions', 'Smart City Development', 'Urban Development Solutions', 'Urban Services', 'Urbanization Solutions', 'City-gas Projects']"
