company_name,stock_ticker,company_location,current_stock_price,description,Industry,Founded,Headquarters,Country/Territory,CEO and Chair,Employees,Revenue,Assets,Profits,Previous Close,Open,Day’s Range,Volume,52 Week Range,Market Cap,P/E Ratio (ttm),Forward P/E,Diluted EPS (ttm),Dividends Per Share,Dividend Yield,Ex-Dividend Date,Price to Sales (ttm),Price to Book Value (ttm),Price to Tangible Book Value (ttm),Total Enterprise Value to EBIT (ttm),Total Enterprise Value to EBITDA (ttm),Total Enterprise Value to Total Revenue (ttm),Gross Margin (ttm),Operating Margin (ttm),Net Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Revenue Growth (y/o/y),EBITDA (ttm),EBITDA Growth (y/o/y),Diluted EPS Growth (y/o/y),Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Consensus Recommendation,Consensus Price,Range of Price Targets,Range of EPS,Consensus EPS,Consensus Revenue,Range of Revenue,Chief Executive Officer,CEO,CEO and President,Chairman,"Chair, CEO and Founder",Chairman of the board,Group CEO and President,Chairman and CEO,Vice Chairman,"CEO, President, and Chair","CEO, Director, and Deputy Party Committee Secretary",Co-CEO,"CEO, President, and Founder",President and CEO,"President, Canada",Chief Executive Officer,Co-CEOs & Co-Presidents,President,"Chairman, President and CEO",Executive Chair and CEO,President & CEO,CEO & Co-Founder,Co-CEOs,CEO & Founder,Chairman and Co-CEO,Chairman and Chief Executive Officer,"Co-Founder, Co-CEO and Chairman",Charter President,President & Representative Director,CEO and Chairman
Shell,,"London, United Kingdom",,"Shell Plc engages in the oil and natural gas production. It operates through the following segments: Integrated Gas, Upstream, Downstream, and Corporate. The Integrated Gas segment manages liquefied natural gas activities and the conversion of natural gas into gas to liquids fuels and other products. The Upstream segment manages the exploration for and extraction of crude oil, natural gas, and natural gas liquids. The Downstream segment manages different oil products and chemical activities as part of an integrated value chain, including trading activities, what turns crude oil and other feedstock into a range of products which are moved and marketed around the world for domestic, and industrial and transport use. The Corporate segment comprises holdings and treasury, self-insurance activities, and headquarters and central functions of the company. Read Less","Construction, Chemicals, Raw Materials",1911,London,United Kingdom,,"93,000",$365.9B,$429.2B,$43.5B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wael Sawan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank of China,,"Beijing, China",,"Bank of China Ltd. engages in the provision of banking and financial services. It operates through the following business segments: Corporate Banking, Personal Banking, Treasury Operations, Investment Banking, Insurance, and Others. The Corporate Banking segment offers services to corporate customers, government authorities, and financial institutions such as current accounts, deposits, overdrafts, loans, custody, trade related products and other credit facilities, foreign currency, and derivative products. The Personal Banking segment provides services to retail customers such as current accounts, savings, deposits, investment savings products, credit and debit cards, consumer loans, and mortgages. The Treasury Operations segment deals in foreign exchange transactions, customer-based interest rate and foreign exchange derivative transactions, money market transactions, proprietary trading, and asset and liability management. The Investment Banking segment includes debt and equity underwriting and financial advisory, sales and trading of securities, stock brokerage, investment research and asset management services, and private equity investment services. The Insurance segment specializes in the underwriting of general and life insurance business and insurance agency services. The Others segment comprises of investment holding and miscellaneous activities. The company was founded on February 5, 1912 and is headquartered in Beijing, China. Read Less",Banking,1912,Beijing,China,,"306,182",$158.2B,$4.4T,$33.2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Liange LIU,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyota,,"Toyota, Japan",,"Toyota Motor Corp. engages in the manufacture and sale of motor vehicles and parts. It operates through the following segments: Automotive, Financial Services, and All Other. The Automotive segment designs, manufactures, assembles and sells passenger cars, minivans, trucks, and related vehicle parts and accessories. It is also involved in the development of intelligent transport systems. The Financial Services segment offers purchase or lease financing to Toyota vehicle dealers and customers. It also provides retail leasing through lease contracts purchase by dealers. The All Others segment deals with the design and manufacture and sale of housing, telecommunications and other businesses. The company was founded by Kiichiro Toyoda on August 28, 1937 and is headquartered in Toyota, Japan. Read Less",Auto Brands,1986,Toyota,Japan,,"372,817",$270.5B,$542.5B,$18.5B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Koji Sato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung Electronics,,"Suwon-Si, South Korea",,"Samsung Electronics inspires the world and shapes the future with transformative ideas and technologies. The company is redefining the worlds of TVs, smartphones, wearable devices, tablets, digital appliances, network systems, and memory, system LSI, foundry and LED solutions. 


To strengthen synergies among the diverse businesses and create differentiated products and services, Samsung operates under two core divisions: DX (Device eXperience), which includes businesses for Visual Display, Digital Appliances, Mobile eXperience, Networks, and Health & Medical Equipment; and DS (Device Solutions), which consists of Memory, System LSI, and Foundry businesses.


Since Samsung’s founding in 1969, the company has followed a clear business philosophy: to devote its talent and technology to creating superior products and services that contribute to a better global society. To achieve this, Samsung sets a high value on its people and technologies.


Samsung is committed to sustainable and responsible business operations. Samsung has committed to achieving net zero emissions enterprise-wide by 2050 and using more renewable energy, and to strategically invest in new sustainable technologies to create a better, healthier planet for all. Samsung is also committed to empowering the next generation to achieve their full potential and pioneer positive social changes under its CSR vision of ‘Together for Tomorrow! Enabling People.’
 Read Less","Semiconductors, Electronics, Electrical Engineering",1938,Suwon-Si,South Korea,,"20,000",$220.1B,$348.8B,$34.5B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KS Choi,,,,,,,,,,,,,,,,,,,,,,,,,,,
UnitedHealth Group,NYSE: UNH,"Minnetonka, Minnesota",$521.97,"UnitedHealth Group, Inc. engages in the provision of health care coverage, software, and data consultancy services. It operates through the following segments: UnitedHealthcare, OptumHealth, OptumInsight, and OptumRx. The UnitedHealthcare segment utilizes Optum's capabilities to help coordinate patient care, improve affordability of medical care, analyze cost trends, manage pharmacy benefits, work with care providers more effectively, and create a simpler consumer experience. The OptumHealth segment provides health services business serving the broad health care marketplace, including payers, care providers, employers, government, life sciences companies, and consumers. The OptumInsight segment focuses on data and analytics, technology, and information to help major participants in the health care industry. The OptumRx segment provides pharmacy care services. The company was founded by Richard T. Burke in January 1977 and is headquartered in Minneapolis, MN. Read Less",Insurance,1977,"Minnetonka, Minnesota",United States,,"400,000",$335.9B,$283.7B,$20.7B,521.06,523.67,517.53 x 523.69,"2,095,933",445.68 x 554.70,$482.78B,21.88,18.86,23.86,7.29,1.44%,"Dec 1, 2023",1.32,5.17,5.17,16.08,14.32,1.40,24.48%,8.71%,6.02%,7.79%,24.98%,$337.5B,396.19,14.64%,$36.33B,17.82%,12.65,$29.63B,27.19,$62.54B,63.22%,0.79,Outperform,595.09,470.00 to 675.00,24.99 to 28.18,27.68,$399.46B,$364.91B to $404.15B,,Andrew Witty,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wells Fargo,NYSE: WFC,"San Francisco, California",$52.66,"Wells Fargo & Co. is a diversified, community-based financial services company. It is engaged in the provision of banking, insurance, investments, mortgage, and consumer and commercial finance. It firm operates through the following segments: Community Banking, Wholesale Banking, Wealth & Investment Management, and Other. The Community Banking segment offers complete line of diversified financial products and services for consumers and small businesses including checking and savings accounts, credit and debit cards, and automobile, student, and small business lending. The Wholesale Banking segment provides financial solutions to businesses across the United States and globally. The Wealth and Investment Management segment includes personalized wealth management, investment and retirement products and services to clients across U.S. based businesses. The Other segment refers to the products of WIM customers served through community banking distribution channels. The company was founded by Henry Wells and William G. Fargo on March 18, 1852 and is headquartered in San Francisco, CA. Read Less",Banking and Financial Services,1852,"San Francisco, California",United States,,"22,000",$108.9B,$1.9T,$14.5B,51.77,51.64,51.13 x 52.68,"18,562,537",35.25 x 52.68,$188.39B,10.90,11.03,4.83,1.30,2.70%,"Feb 1, 2024",2.52,1.14,1.35,N/A,N/A,N/A,N/A,N/A,24.80%,1.00%,10.30%,$30.22B,20.93,6.85%,N/A,N/A,53.82,$433.2B,31.53,$315.64B,N/A,N/A,Outperform,55.70,48.00 to 66.00,4.25 to 5.35,4.77,$80.24B,$79.31B to $81.29B,Charlie Scharf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chevron,NYSE: CVX,"San Ramon, California",$155.44,"Chevron Corp. engages in the provision of administrative, financial management, and technology support for energy and chemical operations. It operates through the Upstream and Downstream segments. The Upstream segment consists of exploration, development, and production of crude oil and natural gas; liquefaction, transportation, and regasification associated with liquefied natural gas; transporting crude oil by major international oil export pipelines; processing, transporting, storage, and marketing of natural gas; and a gas-to-liquids plant. The Downstream segment comprises refining of crude oil into petroleum products; marketing of crude oil and refined products; transporting of crude oil and refined products by pipeline, marine vessel, motor equipment, and rail car; and manufacturing and marketing of commodity petrochemicals, plastics for industrial uses, and fuel and lubricant additives. The company was founded in 1906 and is headquartered in San Ramon, CA. Read Less","Construction, Chemicals, Raw Materials",1879,"San Ramon, California",United States,,"43,846",$232.1B,$255.9B,$35.8B,154.00,154.57,154.10 x 155.56,"6,629,135",139.62 x 172.88,$292.55B,13.68,12.17,11.36,6.04,4.23%,"Feb 15, 2024",1.49,1.78,1.83,10.25,6.51,1.57,39.13%,12.73%,10.91%,N/A,13.12%,$196.91B,104.56,-17.00%,$42.22B,-26.50%,-37.86,$5.94B,3.07,$20.56B,12.37%,N/A,Outperform,178.05,148.00 to 196.00,10.90 to 15.22,12.77,$206.61B,$185.64B to $246.34B,Michael K. Wirth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PetroChina,,"Beijing, China",,"PetroChina Co. Ltd. engages in the petroleum related products, services and activities. It operates through the following business segments: Exploration and Production; Refining and Chemicals; Marketing; Natural Gas and Pipeline; and Head Office and Other. The Exploration and Production segment involves exploration, development, production, and marketing of crude oil and natural gas. The Refining and Chemicals segment focuses on the refining of crude oil and petroleum products, production and marketing of primary petrochemical products, derivative petrochemical products, and other chemical products. The Marketing segment includes marketing of refined products and the trading business. The Natural Gas and Pipeline segment comprises transmission of natural gas, crude oil, and refined products and the sale of natural gas. The Head Office and Other segment relates to cash management and financing activities, the corporate center, research and development, and other business services supporting the operating business segments of the Group. The company was founded on November 5, 1999 and is headquartered in Beijing, China. Read Less",Oil & Gas Operations,1999,Beijing,China,,"398,440",$457.4B,$384.6B,$22.2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yi Lin Wang,,,,,,,,,,,,,,,,,,,,,,,,,,
HSBC Holdings,,"London, United Kingdom",,"HSBC Holdings Plc engages in the provision of banking and financial services. It operates through the following business segments: Retail Banking and Wealth Management, Commercial Banking, Global Banking and Markets, Global Private Banking, and Corporate Centre. The Retail Banking and Wealth Management segment consists of retail banking, wealth management, asset management, and insurance. The Commercial Banking segment offers banking products and services. The Global Banking and Markets segment includes transaction banking, financing, advisory, capital markets, and risk management services. The Global Private Banking offers transaction banking, financing, advisory, capital markets and risk management services to high net worth individuals and families. The Corporate Centre segment is comprises of central treasury, including balance sheet management, other legacy businesses, interests in associates and joint ventures, central stewardship costs and the UK bank levy. The company was founded on January 1, 1959 and is headquartered in London, the United Kingdom. Read Less",Business Services & Supplies,1865,London,United Kingdom,,"219,000",$74B,$3T,$22.2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Noel Paul Quinn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TotalEnergies,,"Courbevoie, France",,"Total SA produces and markets fuels, natural gas and low-carbon electricity. It engages in the exploration and production of oil and gas, refining, petrochemicals and the distribution of energy in various forms to the end customer. The company operates through the following business segments: Exploration & Production; Gas, Renewables & Power; Refining & Chemicals and Marketing & Services. The Exploration & Production segment encompasses oil and gas exploration and production activities. The Gas, Renewables & Power segment develops downstream gas and low carbon electricity as well as the energy efficiency businesses. The Refining & Chemicals segment engages in refining, base petrochemicals, polymer derivatives, the transformation of biomass and the transformation of elastomers. This segment also includes the activities of Trading and Shipping. The Marketing & Services segment includes worldwide supply and marketing activities of oil products and services. Total was founded on March 28, 1924 and is headquartered in Courbevoie, France. Read Less","Construction, Oil & Gas Operations, Mining and Chemicals",1924,Courbevoie,France,,"101,279",$257.6B,$293B,$21.1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Patrick Pouyanné,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verizon Communications,NYSE: VZ,"New York, New York",$41.10,"Verizon Communications, Inc. is a holding company, which engages in the provision of communications, information, and entertainment products and services to consumers, businesses, and governmental agencies. It operates through the Verizon Consumer Group (Consumer) and Verizon Business Group (Business) segments. The Consumer segment provides consumer-focused wireless and wire line communications services and products. The Business segment offers wireless and wire line communications services and products; video and data services; corporate networking solutions; security and managed network services; local and long distance voice services; and network access to deliver various Internet of Things (IoT) services and products. The company was founded in 1983 and is headquartered in New York, NY. Read Less","Telecommunications Services, Cable Supplier",1983,"New York, New York",United States,Hans Vestberg,"104,219",$136.2B,$377.7B,$21.6B,40.50,40.49,40.37 x 41.12,"16,268,226",30.14 x 43.21,$172.8B,14.95,8.95,2.75,2.63,6.57%,"Jan 9, 2024",1.29,1.87,N/A,11.61,6.57,2.62,59.09%,22.59%,8.67%,4.98%,12.99%,$133.97B,31.82,-2.09%,$47.89B,-1.45%,-45.64,$2.07B,0.49,$178.6B,190.40%,0.69,Outperform,45.10,32.15 to 54.00,4.48 to 4.70,4.59,$136.01B,$134.38B to $137.85B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Walmart,NYSE: WMT,"Bentonville, Arkansas",$173.70,"Walmart, Inc. engages in retail and wholesale business. The Company offers an assortment of merchandise and services at everyday low prices. It operates through the following business segments: Walmart U.S., Walmart International, and Sam's Club. The Walmart U.S. segment operates as a merchandiser of consumer products, operating under the Walmart, Wal-Mart, and Walmart Neighborhood Market brands, as well as walmart.com and other eCommerce brands. The Walmart International segment manages supercenters, supermarkets, hypermarkets, warehouse clubs, and cash & carry outside of the United States. The Sam's Club segment comprises membership-only warehouse clubs and samsclubs.com. The company was founded by Samuel Moore Walton and James Lawrence Walton in 1945 and is headquartered in Bentonville, AR. Read Less",Retail and Wholesale,1962,"Bentonville, Arkansas",United States,,"1,600,000",$611.3B,$243.2B,$11.7B,175.86,175.00,172.80 x 175.58,"13,500,762",136.09 x 181.35,$467.64B,30.26,24.65,5.74,2.28,1.30%,"Dec 7, 2023",0.72,5.57,8.38,19.47,12.50,0.81,24.38%,4.17%,2.39%,6.81%,18.64%,$648.13B,240.76,6.03%,$38.87B,9.56%,34.43,$9.87B,3.67,$61.32B,67.70%,0.83,Outperform,192.24,147.00 to 228.00,6.90 to 7.20,7.05,$668.12B,$663.61B to $675.64B,C. Douglas McMillon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
