company_name,Ticker1,Industry,Country/Territory,Employees,Revenue,Assets,Profits,Sector,P/E Ratio (ttm),Forward P/E,Diluted EPS (ttm),Dividends Per Share,Dividend Yield,Price to Sales (ttm),Price to Book Value (ttm),Gross Margin (ttm),Operating Margin (ttm),Net Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue Per Share (ttm),Revenue Growth (y/o/y),Total Cash Per Share,Total Debt/Equity,Current Ratio,Market Cap USD,EBITDA (ttm) USD,Total Cash USD,Total Debt USD,segment_list,business_segments_homologation
Shell,SHEL,"Construction, Chemicals, Raw Materials",United Kingdom,93000.0,365.9,429.2,43.5,Energy,11.72807,7.818713,5.7,2.75,0.041100003,0.6796944,2.3371673,0.24791999,0.03953,0.061139997,0.0521,0.10309,94.044,-0.223,5.986,43.29,1.405,215.204855808,46.217998336,38.774001664,81.54099712,"['Integrated Gas', 'Upstream', 'Downstream', 'and Corporate']","Upstream Oil and Gas, Downstream Oil and Gas, Petrochemicals, Renewable Energy, Carbon Capture and Storage"
Bank of China,601988.SS,Banking,China,306182.0,158.2,4400.0,33.2,Financial Services,5.986301,5.6025643,0.73,0.23,0.0531,2.1809783,0.5939114,,0.56478,0.42740002,0.00808,0.09365,1.807,0.039,9.618,,,172.61597294592,,416.213455601664,814.551988174848,"['Corporate Banking', 'Personal Banking', 'Treasury Operations', 'Investment Banking', 'Insurance', 'and Others']","Corporate Banking, Personal Banking, Investment Banking, Asset Management, Digital Banking"
Toyota,TM,Auto Brands,Japan,372817.0,270.5,542.5,18.5,Consumer Cyclical,11.287252,21.963318,22.28,4.01,0.0162,0.0077542136,0.10415372,0.19864,0.1396,0.10293,0.039049998,0.14717,2018.0162,0.234,907.178,101.3,1.177,3.0845344251904003,59.5689475670016,111.33003371642882,309.03512418222084,"['Automotive', 'Financial Services', 'and All Other']","Automotive Manufacturing, Mobility Services, Robotics, Hydrogen Fuel Cells, Artificial Intelligence"
Samsung Electronics,005930.KS,"Semiconductors, Electronics, Electrical Engineering",South Korea,20000.0,220.1,348.8,34.5,Technology,,12.721055,,1444.0,0.0182,2.0373785,,0.30335,0.04171,0.0559,0.00908,0.043109998,38119.84,-0.038,13603.961,3.488,2.588,400.937689504809,33.4654775230464,70.22948053417984,9.64131746217984,[],"Consumer Electronics, Semiconductors, Displays, Mobile Devices, Internet of Things"
UnitedHealth Group,UNH,Insurance,United States,400000.0,335.9,283.7,20.7,Healthcare,20.59866,15.688896,23.87,7.52,0.0152,1.2198033,5.118785,0.24475999,0.081429996,0.060229998,0.077870004,0.24985,400.455,0.141,32.137,68.172,0.754,453.305729024,35.12999936,29.628000256,67.434999808,"['UnitedHealthcare', 'OptumHealth', 'OptumInsight', 'and OptumRx']","Health Insurance, Healthcare Services, Pharmacy Benefits Management, Digital Health, Data Analytics"
Wells Fargo,WFC,Banking and Financial Services,United States,22000.0,108.9,1900.0,14.5,Financial Services,11.977225,11.7105255,4.83,1.4,0.024400001,2.6530757,1.252029,,0.28594,0.24796,0.009980001,0.10296,20.931,0.006,125.909,,,204.812140544,,450.432991232,319.702007808,"['Community Banking', 'Wholesale Banking', 'Wealth & Investment Management', 'and Other']","Consumer Banking, Commercial Banking, Investment Banking, Wealth Management, Digital Banking"
Chevron,CVX,"Construction, Chemicals, Raw Materials",United States,43846.0,232.1,255.9,35.8,Energy,13.632043,10.449393,11.36,6.52,0.0422,1.47648,1.7949787,0.39286998,0.105900005,0.1097,0.064899996,0.13292,104.004,-0.154,4.427,16.1,1.275,287.616827392,42.176999424,8.223000064,26.069999616,[],"Upstream Oil and Gas, Downstream Oil and Gas, Petrochemicals, Renewable Energy, Carbon Capture and Storage"
PetroChina,601857.SS,Oil & Gas Operations,China,398440.0,457.4,384.6,22.2,Energy,10.420455,10.076922,0.88,0.43,0.0469,0.5259162,1.1830732,0.33123,0.08179,0.052550003,0.05641,0.113850005,16.674,-0.046,1.58,26.269,0.961,237.023826149376,71.946502569984,42.510489649152,61.686490005504,['Exploration and Production; Refining and Chemicals; Marketing; Natural Gas and Pipeline; and Head Office and Other'],"Upstream Oil and Gas, Downstream Oil and Gas, Petrochemicals, Renewable Energy, Energy Storage"
HSBC Holdings,HSBC,Business Services & Supplies,United Kingdom,219000.0,74.0,3000.0,22.2,Financial Services,6.929825,11.617647,5.7,3.05,0.078,2.6629922,4.4789658,,-0.124560006,0.41759998,0.0082,0.13001001,3.61625,-0.54,57.033,,,150.0676096,,1083.986018304,643.836018688,"['Retail Banking and Wealth Management', 'Commercial Banking', 'Global Banking and Markets', 'Global Private Banking', 'and Corporate Centre']","Retail Banking, Commercial Banking, Investment Banking, Wealth Management, Digital Banking"
TotalEnergies,TTE,"Construction, Oil & Gas Operations, Mining and Chemicals",France,101279.0,257.6,293.0,21.1,Energy,7.8454437,7.541019,8.67,3.2,0.0463,0.7295595,1.3701003,0.34668,0.13984999,0.097670004,0.06791,0.18383,89.282,-0.144,14.393,42.288,1.121,159.733399552,43.57199872,33.848000512,50.51400192,"['Exploration & Production; Gas', 'Renewables & Power; Refining & Chemicals and Marketing & Services']","Upstream Oil and Gas, Downstream Oil and Gas, Petrochemicals, Renewable Energy, Carbon Capture and Storage"
Verizon Communications,VZ,"Telecommunications Services, Cable Supplier",United States,104219.0,136.2,377.7,21.6,Communication Services,14.741818,9.362587,2.75,2.66,0.066300005,1.2721955,1.8439845,0.59093,0.20424,0.086689994,0.049790002,0.12987,31.815,-0.003,0.491,190.404,0.692,170.4411136,47.870001152,2.064999936,178.597003264,[],"Wireless Telecommunications, Broadband Internet, Digital Media, Internet of Things, 5G Networks"
Walmart,WMT,Retail and Wholesale,United States,1600000.0,611.3,243.2,11.7,Consumer Defensive,32.172775,25.819326,1.91,0.83,0.0136,0.76399946,5.9018445,0.24375,0.041840002,0.023929998,0.06813,0.18641001,80.243,0.057,1.224,69.865,0.832,495.167176704,38.8649984,9.866999808,63.276998656,['Walmart U'],"Retail, E-commerce, Supply Chain Management, Fintech, Healthcare Services"
Citigroup,C,Banking and Financial Services,United States,86862.0,120.4,2500.0,15.0,Financial Services,15.180694,9.278366,4.04,2.1,0.0349,1.6614445,0.6213276,,-0.088319995,0.13052,0.00389,0.04598,36.63,-0.091,522.857,,,117.464129536,,999.370981376,655.835987968,['Global Consumer Banking; Institutional Clients Group; and Corporate and Other'],"Consumer Banking, Commercial Banking, Investment Banking, Wealth Management, Digital Banking"
China Merchants Bank,600036.SS,Banking,China,112999.0,72.4,1500.0,20.6,Financial Services,5.6846843,4.730135,5.55,1.74,0.0551,2.3048265,0.89222586,,0.35957,0.4323,,0.14840999,13.023,0.646,38.032,,,114.89809465344,,140.995054534656,127.830313992192,"['Wholesale Finance', 'Retail Finance', 'and Other Businesses']","Corporate Banking, Personal Banking, Investment Banking, Asset Management, Digital Banking"
BP,BP,"Construction, Chemicals, Raw Materials",United Kingdom,67600.0,248.1,278.7,25.9,Energy,7.3262134,7.0,5.15,1.71,0.045,0.5126583,9.034962,0.30745,0.03043,0.07314,0.0582,0.18851,18.003,-0.248,2.717,73.778,1.21,106.812874752,44.158001152,45.70200064,63.07500032,"['Upstream', 'Downstream and Rosneft']","Upstream Oil and Gas, Downstream Oil and Gas, Petrochemicals, Renewable Energy, Carbon Capture and Storage"
Volkswagen Group,VOW3.DE,Automotive (Automotive and Suppliers),Germany,675800.0,293.5,633.8,15.6,Consumer Cyclical,4.238215,3.4712644,27.79,9.06,0.0771,0.20105492,0.3677775,0.19334999,0.086940005,0.0515,0.02633,0.097370006,642.903,0.145,101.555,122.583,1.164,69.98052519936,37.46088124416,54.9817196544,251.42291398656,"['Passenger Cars', 'Commercial Vehicles', 'Power Engineering', 'and Financial Services']","Automotive Manufacturing, Mobility Services, Electric Vehicles, Autonomous Driving, Ride-sharing"
Morgan Stanley,MS,Banking and Financial Services,United States,82000.0,74.2,1200.0,10.3,Financial Services,18.03089,12.7595625,5.18,3.4,0.0372,2.8489344,1.6829132,0.86474997,0.30009001,0.16950001,0.00778,0.09174,32.931,0.018,321.966,403.797,1.948,152.734220288,,526.50098688,403.724009472,"['Institutional Securities', 'Wealth Management', 'and Investment Management']","Investment Banking, Wealth Management, Asset Management, Institutional Securities, Digital Finance"
Meta Platforms,META,IT Software & Services,United States,86482.0,117.3,184.5,21.4,Communication Services,34.169582,23.99622,14.86,2.0,0.004,9.595769,8.489835,0.80722,0.43710998,0.28983,0.15109,0.28039,52.409,0.247,25.654,24.76,2.671,1294.488436736,61.381001216,65.402998784,37.923999744,[],"Social Media, Online Advertising, Virtual Reality, Augmented Reality, Metaverse"
Sinopec,600028.SS,"Construction, Oil & Gas Operations, Mining and Chemicals",China,374791.0,453.6,283.3,9.8,Energy,12.019231,10.080645,0.52,0.34,0.0544,0.21336767,0.9364699,0.18917,0.0292,0.0187,0.02589,0.07914,27.782,0.042,1.52,50.015,0.899,104.55742316544,26.45456142336,26.722395291648,70.05299520307199,['Exploration and Production; Refining; Marketing and Distribution; Chemicals; and Corporate and Others'],"Upstream Oil and Gas, Downstream Oil and Gas, Petrochemicals, Renewable Energy, Energy Storage"
Goldman Sachs Group,GS,Diversified Financials,United States,48500.0,79.5,1500.0,10.6,Financial Services,18.081732,10.605229,22.88,11.0,0.0277,2.9686477,1.3334858,0.83158,0.11572,0.1883,0.0055199997,0.07244,132.705,0.116,3008.972,597.241,1.546,134.260064256,,1031.744978944,700.372025344,"['Investment Banking', 'Global Markets', 'Asset Management', 'and Consumer & Wealth Management']","Investment Banking, Asset Management, Securities Trading, Wealth Management, Digital Finance"
Tencent Holdings,0700.HK,"IT, Internet, Software & Services",China,108436.0,82.4,227.0,27.3,Communication Services,22.521269,12.261053,12.93,3.4,0.0117,4.509798,3.3876224,0.48127997,0.26677,0.18917999,0.0646,0.14252,64.412,0.071,40.308,42.491,1.472,403.740585099264,27.282024677376,55.735783391232,54.572281430016,"['Value-Added Services', 'Online Advertising', 'and Others']","Social Media, Online Gaming, Fintech, Cloud Computing, Artificial Intelligence"
Amazon,AMZN,E-Commerce,United States,1541000.0,524.9,464.4,4.3,Consumer Cyclical,61.43103,37.348007,2.9,,,3.219491,9.16268,0.46982,0.07525,0.05293,0.04651,0.1749,55.783,0.139,8.354,80.037,1.045,1850.51512832,85.515001856,86.780002304,161.573994496,"['North America', 'International', 'and Amazon Web Services (AWS)']","E-commerce, Cloud Computing, Logistics, Artificial Intelligence, Digital Media"
Allianz,ALV.DE,Insurance,Germany,159000.0,134.3,1100.0,7.1,Financial Services,12.8787155,10.274849,21.19,13.8,0.0509,0.9960751,1.82686,0.14384,0.04828,0.07936,0.007850001,0.14768,271.652,0.4,290.605,51.527,7.707,115.77986187264,14.17175986176,122.86080221184,35.38187993088,"['Property-Casualty', 'Life/Health', 'Asset Management', 'and Corporate and Other']","Insurance, Asset Management, Banking, Digital Finance, Cybersecurity"
RBC,RY,Banking and Financial Services,Canada,94000.0,60.2,1400.0,11.4,Financial Services,12.689308,11.146961,7.95,4.08,0.040599998,2.6656427,1.3110493,,0.3709,0.28609,0.00784,0.13656999,38.304,-0.012,483.934,,,111.25391327232,,533.69785417728,353.33141495808,"['Personal and Commercial Banking', 'Wealth Management', 'Insurance', 'Investor and Treasury Services', 'Capital Markets', 'and Corporate Support']","Retail Banking, Commercial Banking, Investment Banking, Wealth Management, Digital Banking"
Pfizer,PFE,Drugs & Biotechnology,United States,32000.0,93.0,197.2,29.0,Healthcare,74.75675,10.976191,0.37,1.68,0.060599998,2.677548,1.7544082,0.5899,-0.49967998,0.03622,0.01551,0.02347,10.366,-0.413,2.247,84.37,0.907,156.625846272,11.51699968,12.689999872,75.332001792,[],"Pharmaceuticals, Biotechnology, Consumer Healthcare, Vaccines, Gene Therapy"
Deutsche Telekom,DTE.DE,"Telecommunications Services, Cable Supplier",Germany,206800.0,120.7,342.6,8.4,Communication Services,26.743902,11.075758,0.82,0.77,0.0352,0.95161057,1.917964,0.43377998,0.12689,0.15504,0.046690002,0.09292,23.057,-0.105,1.462,159.273,1.008,117.915623424,41.28191889408,7.862400000000001,156.9412841472,"['Germany', 'United States', 'Europe', 'and Systems Solutions', 'and Group Headquarters and Group Services']","Telecommunications, Broadband Internet, Cloud Computing, Internet of Things, Cybersecurity"
Mercedes-Benz Group,MBG.DE,Automotive (Automotive and Suppliers),Germany,170000.0,158.8,286.0,15.6,Consumer Cyclical,5.4487367,6.011475,13.46,5.3,0.0718,0.51209426,0.83185875,0.21266001,0.10328,0.09308,0.04178,0.16204001,144.6,-0.018,18.239,117.047,1.262,84.73902317568,23.04612089856,20.50488041472,117.329043456,"['Mercedes-Benz Cars', 'Daimler Trucks', 'Mercedes-Benz Vans', 'Daimler Buses', 'and Daimler Financial Services']","Automotive Manufacturing, Mobility Services, Electric Vehicles, Autonomous Driving, Luxury Goods"
TD Bank Group,TD,Banking and Financial Services,Canada,59100.0,56.7,1400.0,11.7,Financial Services,12.861112,9.739482,4.68,3.0,0.05,2.111588,0.99441576,,0.29836,0.23858,0.0062599997,0.10722999,27.824,0.104,282.393,,,83.01568524288,,390.33461735424,340.15488638976,"['Canadian Retail', 'U']","Retail Banking, Commercial Banking, Investment Banking, Wealth Management, Digital Banking"
Taiwan Semiconductor,TSM,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment",Taiwan,73090.0,75.0,165.7,33.6,Technology,27.343138,19.640844,5.1,2.05,0.015,0.33460543,1.0454776,0.5436,0.41597998,0.38787997,0.10973,0.26002002,52.106876,,65.079,28.318,2.402,23.146514087936,46.236463792128,54.00462098432,31.56488486912,[],"Semiconductor Manufacturing, Semiconductor Design, Semiconductor Materials, Semiconductor Equipment, Advanced Packaging"
BMW Group,BMW.DE,Automotive (Automotive and Suppliers),Germany,149475.0,154.2,269.0,11.7,Consumer Cyclical,6.047317,6.390244,17.33,6.0,0.056399997,0.45458272,0.77714825,0.17706,0.11334,0.07288,0.04239,0.12671,238.013,0.034,30.906,104.885,1.119,74.64983003136,25.47503972352,21.32352,105.31187785728,"['Automotive', 'Motorcycles', 'Financial Services', 'and Other Entities']","Automotive Manufacturing, Mobility Services, Electric Vehicles, Autonomous Driving, Luxury Goods"
AXA Group,CS.PA,Insurance,France,145000.0,110.9,701.2,6.8,Financial Services,12.03125,9.070682,2.88,1.98,0.0572,0.76498467,1.6784539,0.1887,0.11915,0.06525,0.00838,0.11658,45.239,-0.039,32.216,105.015,4.326,84.2814554112,,77.377683456,63.18324006912001,"['France', 'Europe', 'Asia', 'AXA XL', 'the United States', 'International and Transversal & Central Holdings']","Insurance, Asset Management, Banking, Digital Finance, Cybersecurity"
Santander,SAN.MC,Banking and Financial Services,Spain,206462.0,87.7,1900.0,10.1,Financial Services,6.5815387,8.226923,0.65,0.18,0.042,1.5037801,0.7121691,,0.35669,0.24745001,0.0069,0.12073,2.768,0.059,28.492,,,72.69393088512,,488.8447038259201,399.11509721088,"['Europe', 'North America', 'South America', 'and Santander Global Platform']","Retail Banking, Commercial Banking, Investment Banking, Wealth Management, Digital Banking"
Comcast,CMCSA,Media & Advertising,United States,130200.0,120.1,259.4,5.7,Communication Services,11.560647,10.091764,3.71,1.24,0.028800001,1.4012525,2.0634081,0.69761,0.14347,0.12658,0.05582,0.18254,29.493,0.023,1.565,124.212,0.597,170.353065984,37.6489984,6.215000064,103.676002304,"['Cable Communications', 'Cable Networks', 'Broadcast Television', 'Filmed Entertainment', 'Theme Parks and Sky']","Cable Television, Broadband Internet, Digital Media, Streaming Services, Wireless Telecommunications"
Equinor,EQNR,Oil & Gas Operations,Norway,21936.0,141.9,152.5,29.0,Energy,6.7989817,8.376175,3.93,1.2,0.044699997,0.73255175,1.6277794,0.45009,0.30652002,0.11123,0.15212,0.2323,17.684,-0.148,13.157,65.557,1.715,78.2716928,46.024998912,38.8649984,31.794999296,"['Exploration and Production Norway; Exploration and Production International; Marketing', 'Midstream', 'and Processing; and Other']","Upstream Oil and Gas, Downstream Oil and Gas, Renewable Energy, Carbon Capture and Storage, Hydrogen Production"
Bank of Communications,601328.SS,Banking,China,10000.0,78.3,1900.0,12.9,Financial Services,5.4086957,5.0569105,1.15,0.37,0.06,1.8918592,0.5209816,,0.48183998,0.42696,0.0070599997,0.08984,2.93,-0.046,13.086,,,60.85261787136,,142.849752170496,403.830911533056,"['Northern China', 'North Eastern China', 'Eastern China', 'Central and Southern China', 'Western China', 'Head Office', 'and Overseas']","Corporate Banking, Personal Banking, Investment Banking, Asset Management, Digital Banking"
Alibaba Group,BABA,"IT, Internet, Software & Services",China,235216.0,128.3,254.9,4.5,Consumer Cyclical,13.723048,8.418472,5.38,1.0,0.0135,0.199004,0.18264084,0.37905997,0.11908,0.10813,0.044320002,0.08206,363.638,0.051,30.72,17.376,1.799,27.132525084672,26.707841040384,90.31665549312,29.180235743232,['Core Commerce; Cloud Computing; Digital Media and Entertainment; and Innovation Initiatives and Others'],"E-commerce, Cloud Computing, Digital Media, Logistics, Fintech"
Sony,SONY,"Semiconductors, Electronics, Electrical Engineering",Japan,108900.0,85.2,240.7,6.9,Technology,19.161987,17.094412,4.63,0.54,0.0061000003,0.00827817,0.0149417855,0.23566,0.12275,0.06499,0.01957,0.12123,10659.917,0.217,793.355,58.987,0.69,0.9903141527552,13.0605108035584,8.8858312245248,40.0909259505664,"['Game and Network Services', 'Music', 'Pictures', 'Home Entertainment and Sound', 'Imaging Products and Solutions', 'Mobile Communications', 'Semiconductors', 'Financial Services', 'and All Others']","Consumer Electronics, Gaming, Entertainment, Semiconductors, Artificial Intelligence"
Petrobras,PBR,Oil & Gas Operations,Brazil,45149.0,124.2,185.0,36.5,Energy,3.8500001,4.5576324,3.8,2.94,0.1966,0.18466248,0.49761906,0.52722,0.37592998,0.24337,0.12573,0.33523998,78.634,-0.153,5.816,79.265,0.958,17.0182950912,44.31312027648,13.54734010368,54.55115845632,"['Exploration and Production; Refining', 'Transportation', 'and Marketing; Gas and Power; and Corporate and Other Business']","Upstream Oil and Gas, Downstream Oil and Gas, Petrochemicals, Renewable Energy, Biofuels"
Industrial Bank ,601166.SS,Banking,China,63853.0,59.1,1400.0,13.0,Financial Services,4.6,3.9926648,3.55,1.19,0.0727,2.0928476,0.4862579,,0.59933996,0.5215,0.00898,0.11129,7.775,-0.183,77.782,,,49.86891485184,,237.5298121728,314.771976486912,[],"Corporate Banking, Personal Banking, Investment Banking, Asset Management, Digital Banking"
Stellantis,STLA,Automotive (Automotive and Suppliers),Netherlands,272367.0,188.7,198.7,17.7,Consumer Cyclical,4.521672,7.194581,6.46,1.66,0.056700002,0.46428803,1.080971,0.20155,0.101739995,0.09811,0.07393,0.24110001,60.991,-0.005,12.124,35.925,1.238,95.0432514048,29.931120967680005,50.93064179712,31.862159032320005,"['North American Free Trade Agreement', 'Latin America', 'Asia-Pacific', 'Europe', 'the Middle East & Africa', 'Maserati', 'and Components']","Automotive Manufacturing, Mobility Services, Electric Vehicles, Autonomous Driving, Commercial Vehicles"
China Life Insurance,601628.SS,Insurance,China,103262.0,124.4,754.9,4.9,Financial Services,47.442623,18.316456,0.61,0.49,0.016900001,0.8747412,1.8510938,0.13581,0.11512999,0.02257,0.00236,0.04081,26.895,-0.064,15.281,45.082,1.336,98.352817963008,3.614656561152,63.491356852224,29.918762237952,"['Life Insurance Businesses', 'Health Insurance Businesses', 'Accident Insurance Businesses', 'and Other Businesses']","Life Insurance, Health Insurance, Asset Management, Retirement Planning, Digital Insurance"
American Express,AXP,Banking and Financial Services,United States,26000.0,59.3,235.8,7.2,Financial Services,20.438894,15.502029,11.21,2.8,0.0123000005,2.9676092,5.9042416,0.55044,0.17357999,0.15063,0.03422,0.31739,75.635,0.092,63.692,216.687,1.433,164.97532928,,46.105001984,60.795998208,"['Global Consumer Services Group', 'Global Commercial Services', 'Global Merchant and Network Services and Corporate & Other']","Credit Cards, Travel Services, Merchant Services, Digital Payments, Lending"
General Electric,GE,"Engineering, Manufacturing",United States,58000.0,74.0,164.5,8.6,Industrials,22.135338,33.203007,7.98,0.32,0.0018000001,2.841852,7.0223427,0.21827999,0.06307,0.13951999,0.020599999,0.28445,62.4,0.154,18.903,80.255,1.175,193.115209728,7.877000192,20.57299968,22.936999936,"['Power', 'Renewable Energy', 'Aviation and Capital']","Aviation, Power Generation, Renewable Energy, Healthcare, Digital Solutions"
CVS,CVS,Pharmacies,United States,300000.0,331.2,239.3,4.0,Healthcare,12.097372,8.489154,6.47,2.66,0.0337,0.2761989,1.3184758,0.1494,0.03675,0.0234,0.0368,0.112770006,277.528,0.12,9.102,103.587,0.857,98.498879488,18.439000064,11.454999552,79.385001984,"['Pharmacy Services', 'Retail or Long Term Care', 'Health Care Benefits', 'and Corporate']","Pharmacy Services, Retail Clinics, Health Insurance, Digital Health, Pharmaceutical Distribution"
China State Construction Engineering,601668.SS,"Construction, Oil & Gas Operations, Mining and Chemicals",China,368327.0,303.8,394.9,7.7,Industrials,4.235772,3.6433568,1.23,0.25,0.048499998,0.099000216,0.5362841,0.09631,0.04421,0.02332,0.02301,0.09832,53.526,0.175,8.169,107.543,1.28,31.875510632448,16.555829305344,50.341466800128,113.731413540864,[],"Construction, Infrastructure Development, Real Estate, Engineering Services, Sustainable Building"
The Home Depot,HD,Retail and Wholesale,United States,475000.0,157.4,76.4,17.1,Consumer Cyclical,26.154865,26.034256,15.11,9.0,0.0234,2.5653508,375.6654,0.33379,0.1191,0.09919,0.17723,11.621639,152.822,-0.029,3.794,5086.398,1.352,391.64952576,24.935999488,3.76,53.10199808,[],"Home Improvement Retail, Building Materials, Appliances, Outdoor Products, Installation Services"
Cigna,CI,Insurance,United States,67022.0,182.8,142.7,6.8,Healthcare,20.363844,11.036506,17.37,5.6,0.015800001,0.5140282,2.2383802,0.12859,0.04487,0.02646,0.03754,0.11793,664.145,0.116,29.919,68.801,0.767,100.331618304,10.721999872,8.746999808,31.889999872,"['Health Services', 'Integrated Medical', 'International Markets', 'and Group Disability and Other']","Health Insurance, Healthcare Services, Pharmacy Benefits Management, Digital Health, Population Health Management"
Tesla,TSLA,Automotive (Automotive and Suppliers),United States,127855.0,86.0,86.8,11.8,Consumer Cyclical,40.09745,46.208557,4.31,,,5.68749,8.788202,0.18249,0.08201,0.15496999,0.058819998,0.27348,30.489,0.035,9.135,15.05,1.726,550.395445248,13.557999616,29.09400064,9.573000192,['Automotive and Energy Generation and Storage'],"Electric Vehicles, Autonomous Driving, Energy Storage, Solar Energy, Artificial Intelligence"
