company_name,Ticker1,description,Industry,Country/Territory,Employees,Revenue,Assets,Profits,Nombre del archivo,Sector,Symbol,Short Name,Long Name,Financial Currency,Market Cap,P/E Ratio (ttm),Forward P/E,Diluted EPS (ttm),Dividends Per Share,Dividend Yield,Ex-Dividend Date,Price to Sales (ttm),Price to Book Value (ttm),Gross Margin (ttm),Operating Margin (ttm),Net Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Revenue Growth (y/o/y),EBITDA (ttm),Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Range of Price Targets
Samsung Electronics,005930.KS,"Samsung Electronics inspires the world and shapes the future with transformative ideas and technologies. The company is redefining the worlds of TVs, smartphones, wearable devices, tablets, digital appliances, network systems, and memory, system LSI, foundry and LED solutions. 


To strengthen synergies among the diverse businesses and create differentiated products and services, Samsung operates under two core divisions: DX (Device eXperience), which includes businesses for Visual Display, Digital Appliances, Mobile eXperience, Networks, and Health & Medical Equipment; and DS (Device Solutions), which consists of Memory, System LSI, and Foundry businesses.


Since Samsung’s founding in 1969, the company has followed a clear business philosophy: to devote its talent and technology to creating superior products and services that contribute to a better global society. To achieve this, Samsung sets a high value on its people and technologies.


Samsung is committed to sustainable and responsible business operations. Samsung has committed to achieving net zero emissions enterprise-wide by 2050 and using more renewable energy, and to strategically invest in new sustainable technologies to create a better, healthier planet for all. Samsung is also committed to empowering the next generation to achieve their full potential and pioneer positive social changes under its CSR vision of ‘Together for Tomorrow! Enabling People.’
 Read Less","Semiconductors, Electronics, Electrical Engineering",South Korea,"20,000",$220.1B,$348.8B,$34.5B,005930.KS.json,Technology,005930.KS,SamsungElec,"Samsung Electronics Co., Ltd.",KRW,527549591453696,N/A,12.721055,N/A,1444.0,0.0182,1703635200,2.0373785,N/A,0.30335,0.04171,0.0559,0.00908,0.043109998,N/A,38119.84,-0.038,44033523056640,92407211229184,13603.961,12685944029184,3.488,2.588,"(75700.0, 115000.0)"
UnitedHealth Group,UNH,"UnitedHealth Group, Inc. engages in the provision of health care coverage, software, and data consultancy services. It operates through the following segments: UnitedHealthcare, OptumHealth, OptumInsight, and OptumRx. The UnitedHealthcare segment utilizes Optum's capabilities to help coordinate patient care, improve affordability of medical care, analyze cost trends, manage pharmacy benefits, work with care providers more effectively, and create a simpler consumer experience. The OptumHealth segment provides health services business serving the broad health care marketplace, including payers, care providers, employers, government, life sciences companies, and consumers. The OptumInsight segment focuses on data and analytics, technology, and information to help major participants in the health care industry. The OptumRx segment provides pharmacy care services. The company was founded by Richard T. Burke in January 1977 and is headquartered in Minneapolis, MN. Read Less",Insurance,United States,"400,000",$335.9B,$283.7B,$20.7B,UNH.json,Healthcare,UNH,UnitedHealth Group Incorporated,UnitedHealth Group Incorporated,USD,453305729024,20.59866,15.688896,23.87,7.52,0.0152,1709856000,1.2198033,5.118785,0.24475999,0.081429996,0.060229998,0.077870004,0.24985,N/A,400.455,0.141,35129999360,29628000256,32.137,67434999808,68.172,0.754,"(470.0, 675.0)"
Wells Fargo,WFC,"Wells Fargo & Co. is a diversified, community-based financial services company. It is engaged in the provision of banking, insurance, investments, mortgage, and consumer and commercial finance. It firm operates through the following segments: Community Banking, Wholesale Banking, Wealth & Investment Management, and Other. The Community Banking segment offers complete line of diversified financial products and services for consumers and small businesses including checking and savings accounts, credit and debit cards, and automobile, student, and small business lending. The Wholesale Banking segment provides financial solutions to businesses across the United States and globally. The Wealth and Investment Management segment includes personalized wealth management, investment and retirement products and services to clients across U.S. based businesses. The Other segment refers to the products of WIM customers served through community banking distribution channels. The company was founded by Henry Wells and William G. Fargo on March 18, 1852 and is headquartered in San Francisco, CA. Read Less",Banking and Financial Services,United States,"22,000",$108.9B,$1.9T,$14.5B,WFC.json,Financial Services,WFC,Wells Fargo & Company,Wells Fargo & Company,USD,204812140544,11.977225,11.7105255,4.83,1.4,0.024400001,1706745600,2.6530757,1.252029,N/A,0.28594,0.24796,0.009980001,0.10296,N/A,20.931,0.006,N/A,450432991232,125.909,319702007808,N/A,N/A,"(44.92, 60.76)"
Chevron,CVX,"Chevron Corp. engages in the provision of administrative, financial management, and technology support for energy and chemical operations. It operates through the Upstream and Downstream segments. The Upstream segment consists of exploration, development, and production of crude oil and natural gas; liquefaction, transportation, and regasification associated with liquefied natural gas; transporting crude oil by major international oil export pipelines; processing, transporting, storage, and marketing of natural gas; and a gas-to-liquids plant. The Downstream segment comprises refining of crude oil into petroleum products; marketing of crude oil and refined products; transporting of crude oil and refined products by pipeline, marine vessel, motor equipment, and rail car; and manufacturing and marketing of commodity petrochemicals, plastics for industrial uses, and fuel and lubricant additives. The company was founded in 1906 and is headquartered in San Ramon, CA. Read Less","Construction, Chemicals, Raw Materials",United States,"43,846",$232.1B,$255.9B,$35.8B,CVX.json,Energy,CVX,Chevron Corporation,Chevron Corporation,USD,287616827392,13.632043,10.449393,11.36,6.52,0.0422,1707955200,1.47648,1.7949787,0.39286998,0.105900005,0.1097,0.064899996,0.13292,N/A,104.004,-0.154,42176999424,8223000064,4.427,26069999616,16.1,1.275,"(148.0, 200.0)"
PetroChina,601857.SS,"PetroChina Co. Ltd. engages in the petroleum related products, services and activities. It operates through the following business segments: Exploration and Production; Refining and Chemicals; Marketing; Natural Gas and Pipeline; and Head Office and Other. The Exploration and Production segment involves exploration, development, production, and marketing of crude oil and natural gas. The Refining and Chemicals segment focuses on the refining of crude oil and petroleum products, production and marketing of primary petrochemical products, derivative petrochemical products, and other chemical products. The Marketing segment includes marketing of refined products and the trading business. The Natural Gas and Pipeline segment comprises transmission of natural gas, crude oil, and refined products and the sale of natural gas. The Head Office and Other segment relates to cash management and financing activities, the corporate center, research and development, and other business services supporting the operating business segments of the Group. The company was founded on November 5, 1999 and is headquartered in Beijing, China. Read Less",Oil & Gas Operations,China,"398,440",$457.4B,$384.6B,$22.2B,601857.SS.json,Energy,601857.SS,PETROCHINA CO,PetroChina Company Limited,CNY,1612406980608,10.420455,10.076922,0.88,0.43,0.0469,1695168000,0.5259162,1.1830732,0.33123,0.08179,0.052550003,0.05641,0.113850005,N/A,16.674,-0.046,489431990272,289187004416,1.58,419635986432,26.269,0.961,"(4.8, 10.6)"
HSBC Holdings,HSBC,"HSBC Holdings Plc engages in the provision of banking and financial services. It operates through the following business segments: Retail Banking and Wealth Management, Commercial Banking, Global Banking and Markets, Global Private Banking, and Corporate Centre. The Retail Banking and Wealth Management segment consists of retail banking, wealth management, asset management, and insurance. The Commercial Banking segment offers banking products and services. The Global Banking and Markets segment includes transaction banking, financing, advisory, capital markets, and risk management services. The Global Private Banking offers transaction banking, financing, advisory, capital markets and risk management services to high net worth individuals and families. The Corporate Centre segment is comprises of central treasury, including balance sheet management, other legacy businesses, interests in associates and joint ventures, central stewardship costs and the UK bank levy. The company was founded on January 1, 1959 and is headquartered in London, the United Kingdom. Read Less",Business Services & Supplies,United Kingdom,"219,000",$74B,$3T,$22.2B,HSBC.json,Financial Services,HSBC,"HSBC Holdings, plc.",HSBC Holdings plc,USD,150067609600,6.929825,11.617647,5.7,3.05,0.078,1709769600,2.6629922,4.4789658,N/A,-0.124560006,0.41759998,0.0082,0.13001001,N/A,3.61625,-0.54,N/A,1083986018304,57.033,643836018688,N/A,N/A,"(48.52, 48.52)"
TotalEnergies,TTE,"Total SA produces and markets fuels, natural gas and low-carbon electricity. It engages in the exploration and production of oil and gas, refining, petrochemicals and the distribution of energy in various forms to the end customer. The company operates through the following business segments: Exploration & Production; Gas, Renewables & Power; Refining & Chemicals and Marketing & Services. The Exploration & Production segment encompasses oil and gas exploration and production activities. The Gas, Renewables & Power segment develops downstream gas and low carbon electricity as well as the energy efficiency businesses. The Refining & Chemicals segment engages in refining, base petrochemicals, polymer derivatives, the transformation of biomass and the transformation of elastomers. This segment also includes the activities of Trading and Shipping. The Marketing & Services segment includes worldwide supply and marketing activities of oil products and services. Total was founded on March 28, 1924 and is headquartered in Courbevoie, France. Read Less","Construction, Oil & Gas Operations, Mining and Chemicals",France,"101,279",$257.6B,$293B,$21.1B,TTE.json,Energy,TTE,TotalEnergies SE,TotalEnergies SE,USD,159733399552,7.8454437,7.541019,8.67,3.2,0.0463,1710720000,0.7295595,1.3701003,0.34668,0.13984999,0.097670004,0.06791,0.18383,N/A,89.282,-0.144,43571998720,33848000512,14.393,50514001920,42.288,1.121,"(65.0, 83.0)"
Verizon Communications,VZ,"Verizon Communications, Inc. is a holding company, which engages in the provision of communications, information, and entertainment products and services to consumers, businesses, and governmental agencies. It operates through the Verizon Consumer Group (Consumer) and Verizon Business Group (Business) segments. The Consumer segment provides consumer-focused wireless and wire line communications services and products. The Business segment offers wireless and wire line communications services and products; video and data services; corporate networking solutions; security and managed network services; local and long distance voice services; and network access to deliver various Internet of Things (IoT) services and products. The company was founded in 1983 and is headquartered in New York, NY. Read Less","Telecommunications Services, Cable Supplier",United States,"104,219",$136.2B,$377.7B,$21.6B,VZ.json,Communication Services,VZ,Verizon Communications Inc.,Verizon Communications Inc.,USD,170441113600,14.741818,9.362587,2.75,2.66,0.066300005,1712620800,1.2721955,1.8439845,0.59093,0.20424,0.086689994,0.049790002,0.12987,N/A,31.815,-0.003,47870001152,2064999936,0.491,178597003264,190.404,0.692,"(29.59, 46.03)"
Walmart,WMT,"Walmart, Inc. engages in retail and wholesale business. The Company offers an assortment of merchandise and services at everyday low prices. It operates through the following business segments: Walmart U.S., Walmart International, and Sam's Club. The Walmart U.S. segment operates as a merchandiser of consumer products, operating under the Walmart, Wal-Mart, and Walmart Neighborhood Market brands, as well as walmart.com and other eCommerce brands. The Walmart International segment manages supercenters, supermarkets, hypermarkets, warehouse clubs, and cash & carry outside of the United States. The Sam's Club segment comprises membership-only warehouse clubs and samsclubs.com. The company was founded by Samuel Moore Walton and James Lawrence Walton in 1945 and is headquartered in Bentonville, AR. Read Less",Retail and Wholesale,United States,"1,600,000",$611.3B,$243.2B,$11.7B,WMT.json,Consumer Defensive,WMT,Walmart Inc.,Walmart Inc.,USD,495167176704,32.172775,25.819326,1.91,0.83,0.0136,1715212800,0.76399946,5.9018445,0.24375,0.041840002,0.023929998,0.06813,0.18641001,N/A,80.243,0.057,38864998400,9866999808,1.224,63276998656,69.865,0.832,"(52.17, 69.04)"
Citigroup,C,"Citigroup Inc. is a diversified financial services holding company. The company has approximately 200 million customer accounts and does business in nearly 160 countries and jurisdictions.. It operates through the following segments: Global Consumer Banking; Institutional Clients Group; and Corporate and Other. The Global Consumer Banking segment provides traditional banking services to retail customers through retail banking, including commercial banking, and Citi-branded cards and Citi retail services. The Institutional Clients Group segment provides corporate, institutional, public sector and high-net-worth clients around the world with a full range of wholesale banking products and services. This segment includes fixed income and equity sales and trading, foreign exchange, prime brokerage, derivative services, equity and fixed income research, corporate lending, investment banking and advisory services, private banking, cash management, trade finance and securities services. The Corporate and Other segment includes certain unallocated costs of global staff functions, other corporate expenses and unallocated global operations and technology expenses, Corporate Treasury, certain North America and international legacy consumer loan portfolios, other legacy assets and discontinued operations. The company was founded in 1812 and is headquartered in New York, NY. Read Less",Banking and Financial Services,United States,"86,862",$120.4B,$2.5T,$15B,C.json,Financial Services,C,"Citigroup, Inc.",Citigroup Inc.,USD,117464129536,15.180694,9.278366,4.04,2.1,0.0349,1706832000,1.6614445,0.6213276,N/A,-0.088319995,0.13052,0.00389,0.04598,N/A,36.63,-0.091,N/A,999370981376,522.857,655835987968,N/A,N/A,"(46.03, 81.01)"
China Merchants Bank,600036.SS,"China Merchants Bank Co., Ltd. engages in the provision of corporate and personal banking services. It focuses on individual and corporate businesses, credit card, and small and medium enterprises. It operates through the following business segments: Wholesale Finance, Retail Finance, and Other Businesses. The company was founded on March 31, 1987 and is headquartered in Shenzhen, China.",Banking,China,"112,999",$72.4B,$1.5T,$20.6B,600036.SS.json,Financial Services,600036.SS,CHINA MERCHANTS BANK CO LTD,"China Merchants Bank Co., Ltd.",CNY,781619691520,5.6846843,4.730135,5.55,1.74,0.0551,1689206400,2.3048265,0.89222586,N/A,0.35957,0.4323,N/A,0.14840999,N/A,13.023,0.646,N/A,959150030848,38.032,869593972736,N/A,N/A,"(27.3, 61.2)"
BP,BP,"BP Plc operates as an integrated oil and gas company. It operates through the following segments: Upstream, Downstream and Rosneft. The Upstream segment engages in the oil and natural gas exploration, field development and production, midstream transportation, storage and processing and marketing and trade of natural gas, including liquefied natural gas and power and natural gas liquids. The Downstream segment refines, manufactures, markets, transports, supplies, and trades crude oil, petroleum, petrochemicals products and related services to wholesale and retail customers. The Rosneft segment engages in investment activities. The company was founded by William Knox D'Arcy on April 14, 1909 and is headquartered in London, the United Kingdom. Read Less","Construction, Chemicals, Raw Materials",United Kingdom,"67,600",$248.1B,$278.7B,$25.9B,BP.json,Energy,BP,BP p.l.c.,BP p.l.c.,USD,106812874752,7.3262134,7.0,5.15,1.71,0.045,1707955200,0.5126583,9.034962,0.30745,0.03043,0.07314,0.0582,0.18851,N/A,18.003,-0.248,44158001152,45702000640,2.717,63075000320,73.778,1.21,"(38.0, 47.0)"
